id,title,text,subject,label
78,---,,Sports,TRUE  
11,Parliament passes Digital Personal Data Protection Bill with bipartisan support,"The Indian Parliament passed the Digital Personal Data Protection Bill with broad support from both the ruling coalition and opposition. The legislation establishes a Data Protection Board, mandates consent-based data processing, and introduces significant penalties for breaches. It will govern digital data across sectors.",Law,TRUE  
5,RBI keeps repo rate unchanged at 6.5% in April 2025 monetary policy review,,Economy,True
84,India's first electric highway inaugurated between Delhi and Jaipur,"  India's first electric overhead cable highway, allowing electric trucks to charge while driving, was inaugurated on a 150-km stretch of NH-48 between Delhi and Jaipur.

Developed in partnership with Siemens, the eHighway technology can cut heavy freight transport carbon emissions by 70%.  ",,True
63,"Parliament passes Women's Reservation Bill, 33% seats reserved in Lok Sabha, state assemblies",The Indian Parliament passed the Constitution (106th Amendment) Act providing 33% reservation for women in Lok Sabha and state legislative assemblies. The reservation will take effect after the next delimitation exercise. India became one of the largest democracies with a constitutional quota for women in legislature.,Politics,True
68,UP government launches largest solar energy park in Asia — 10 GW Bundelkhand Solar Park,"The Uttar Pradesh government officially launched the 10 GW Bundelkhand Ultra Mega Solar Power Park in Jhansi, making it Asia's largest solar energy park by capacity. The Rs 50,000 crore project is being developed by NTPC Renewable Energy Limited across 48,000 acres of degraded land.",Environment,True
31,"Vande Bharat Express fleet expanded to 50 trains, connecting 25 states","Indian Railways expanded the Vande Bharat Express fleet to 50 trains connecting 25 states across India. Railway Minister announced the semi-high speed trains have covered over 15 crore passengers since launch. New routes added include Mumbai-Goa, Bengaluru-Chennai, and Kolkata-Puri corridors.",Government,True
46,India's literacy rate crosses 80% for first time — NFHS-6 survey,"The National Family Health Survey-6 data revealed India's literacy rate has crossed 80% for the first time, with female literacy rising to 74.3% from 65.8% in NFHS-5. Bihar and Uttar Pradesh recorded the highest literacy growth of 12 percentage points over five years.",Education,TRUE
96,NTPC commissions Asia's largest floating solar plant on Ramagundam reservoir,NTPC Limited commissioned Asia's largest floating solar power plant on the reservoir of its Ramagundam Thermal Power Station in Telangana with a capacity of 600 MW. The project uses specialised floating platforms and avoids land acquisition while using water evaporation benefits to enhance panel efficiency.,Environment,True
12,,,Economy,True
82,,,Technology,True
80,"New Parliament building inaugurated by PM Modi — 1,200 capacity Lok Sabha","The new Parliament building on Sansad Marg, New Delhi was inaugurated by Prime Minister Modi. The triangular building features a 1,200-seat Lok Sabha chamber, an 800-seat Rajya Sabha hall, and incorporates traditional elements from across India's diverse cultural heritage in its architecture and interiors.",Government,true
1,"India's GDP growth rate reaches 7.2% in Q3 FY2025, surpasses expectations","India's economy grew at 7.2% in the third quarter of fiscal year 2025, exceeding analyst forecasts of 6.8%. The National Statistical Office data showed strong performance in manufacturing and services. Finance Minister Nirmala Sitharaman attributed the growth to infrastructure investment and domestic consumption recovery.",,True
81,India signs $3.5 billion deal to buy 31 MQ-9B Predator drones from USA,"India signed a $3.5 billion government-to-government agreement with the United States for the acquisition of 31 MQ-9B SeaGuardian and SkyGuardian high-altitude long-endurance drones. The purchase, approved by the Cabinet Committee on Security, will significantly enhance ISR capabilities of all three armed services.",National Security,True
19,Nita Ambani inducted into International Olympic Committee as first Indian woman member,"Nita Ambani was inducted as a full member of the International Olympic Committee (IOC), becoming the first Indian woman ever to hold IOC membership. She had previously served as an IOC observer member. The induction was formalised at the IOC session in Paris during the 2024 Olympics.",Sports,True
70,,"India enacted the Right to Health Act, a landmark legislation guaranteeing universal access to essential medicines, diagnostics, and emergency care at all government healthcare facilities free of cost. The act also regulates private hospital billing practices and mandates standard treatment protocols.",,True
57,Kerala model midday meal programme wins UN Food Systems Award,"Kerala's expanded midday meal programme, which provides nutritionally balanced hot meals including protein-rich options to 42 lakh school children, received the United Nations Food Systems Champion Award. The programme is credited with reducing school dropout rates by 38% in tribal districts.",Government,True
77,Kolkata Metro expansion connects Salt Lake to Airport via underwater tunnel,"Kolkata Metro's East-West corridor was extended to connect Salt Lake to Netaji Subhas Chandra Bose International Airport via an underwater tunnel beneath the Hooghly river. The expansion reduces airport travel time from Sector V to under 25 minutes, cutting road journey times by more than half.",Government,True
12,,,Economy,True
43,Rohit Sharma breaks Sachin Tendulkar's record for most ODI centuries — 50th ton,"Indian cricket captain Rohit Sharma surpassed Sachin Tendulkar's all-time record of 49 ODI centuries by scoring his 50th one-day international hundred against Australia in Chennai. The stadium erupted as Rohit raised his bat, with Tendulkar himself present in the stands to congratulate him.",Sports,True
13,Chandrayaan-3's Pragyan rover detects sulphur and other elements on Moon's south pole,"Data from ISRO's Chandrayaan-3 Pragyan rover confirmed the presence of sulphur, aluminium, iron, calcium, chromium, titanium, manganese, silicon, and oxygen on the lunar south pole surface. The discovery of sulphur was unexpected and will help scientists understand the Moon's geological history.",Science,TRUE  
37,MP Pilibhit reserve becomes Asia's best-managed tiger conservation area — WWF award,Pilibhit Tiger Reserve in Uttar Pradesh received the WWF's Asia-Pacific Tiger Conservation Excellence Award for the best-managed tiger habitat in the continent. The reserve saw its tiger count grow from 25 in 2014 to 65 in 2024 through community-based anti-poaching programmes.,Environment,True
65,Ganga river water quality improves to 'good' at 73 locations — CPCB report,,Environment,True
27,"Manipur unrest: Supreme Court appoints commission, orders Rs 10 lakh compensation per victim",The Supreme Court of India appointed a retired High Court judge as a one-man commission to investigate the ethnic violence in Manipur. The court also directed the state government to pay ex-gratia compensation of Rs 10 lakh to each victim's family. CBI investigations continue into reported violence cases.,Law,True
23,Jio launches JioAirFiber 5G home broadband with 1Gbps speeds in 100 Indian cities,Reliance Jio expanded its JioAirFiber wireless broadband service to 100 cities across India offering speeds up to 1 Gigabit per second at a starting price of Rs 899 per month. The service operates on 5G millimetre wave technology and requires no cable installation.,Technology,True
32,,"India's startup ecosystem reached a milestone of 115 unicorn companies (valued at $1 billion or more), making it the world's fifth-largest unicorn hub. DPIIT data shows over 1.17 lakh startups are registered under the Startup India initiative, creating 12.42 lakh direct employment opportunities.",Economy,True
48,India's first green hydrogen plant opens in Gujarat — produces 200 tonnes per day,"India's first large-scale green hydrogen production facility was inaugurated in Surat, Gujarat with a capacity of 200 tonnes per day. The plant powered by solar energy was built by NTPC and marks a key milestone in India's National Green Hydrogen Mission targeting 5 million tonne annual production by 2030.",Environment,True
44,India completes first human spaceflight: Gaganyaan astronaut orbits Earth for 3 days,"India achieved a historic milestone as IAF pilot and ISRO astronaut Group Captain Prashanth Balakrishnan Nair successfully completed a 3-day orbital mission aboard the Gaganyaan spacecraft. Upon landing, PM Modi called it India's proudest moment since the Moon landing of Chandrayaan-3.",Science,True
16,PV Sindhu wins gold at Paris 2024 Olympics badminton women's singles event,"Indian badminton star PV Sindhu claimed India's first Olympic gold medal in badminton at the Paris 2024 Olympics, defeating China's Chen Yu Fei in a fierce final 21-18, 22-20. Prime Minister Modi and sports minister congratulated her for the historic achievement.",Sports,True
45,Andhra Pradesh and Telangana water dispute settled by tribunal — Krishna river sharing decided,The Krishna Water Disputes Tribunal issued its final award resolving the long-standing water sharing dispute between Andhra Pradesh and Telangana. The verdict allocates 512 TMC to Andhra Pradesh and 299 TMC to Telangana from the Krishna River's average flow.,Government,TRUE
89,India reduces open burning of crop stubble by 65% with PUSA bio-decomposer scheme,Punjab Agricultural University and ICAR's PUSA bio-decomposer spray programme achieved a 65% reduction in paddy stubble burning in Punjab compared to 2019 levels. The liquid microbial culture decomposes paddy straw into manure within 20 days eliminating the need for burning.,Environment,True
90,ECI implements electronic ballot for overseas voters in Lok Sabha elections for first time,The Election Commission of India successfully piloted an electronic postal ballot system for registered Indian overseas voters in the 2024 Lok Sabha elections. Over 1.3 lakh overseas voters from 120 countries registered and cast their electronic ballots under the revised Conduct of Election Rules.,,True
10,UPI transactions cross Rs 20 lakh crore in single month for first time — NPCI data,---,Economy,True
34,"PM Kisan scheme completes 6 crore beneficiary mark, Rs 3.24 lakh crore disbursed",The PM-KISAN direct benefit transfer scheme has disbursed over Rs 3.24 lakh crore to more than 6 crore farmer beneficiaries since its launch in 2019. Agriculture Ministry data shows the scheme covers 85% of all registered small and marginal farmers across India.,Government,true
56,"India and UAE operationalise local currency settlement, reduce dollar dependency","India and the United Arab Emirates began operationalising their bilateral local currency settlement mechanism, enabling trade invoiced in Indian Rupees and UAE Dirhams without dollar conversion. The RBI and UAE Central Bank announced settlement frameworks for banking and trade finance.",Economy,True
28,India's first indigenous aircraft carrier INS Vikrant completes deep-sea deployment,,National Security,True
29,,"All India Institute of Medical Sciences and ICMR jointly announced the approval of a low-cost dengue NS1 antigen rapid test kit developed indigenously at a cost of Rs 50, compared to Rs 400 for imported alternatives. The kit will be deployed across government health centres in dengue-endemic states.",,True
41,IIT Delhi student wins Fields Medal equivalent Young Scientist Prize in mathematics,"  A 28-year-old researcher from IIT Delhi won the International Mathematical Union's Young Scientist Prize — often compared to a junior Fields Medal — for breakthrough work in algebraic topology.

She is the youngest Indian and only the second woman from Asia to receive the recognition.  ",Education,True
6,"Bengaluru receives record rainfall in October 2024, IMD confirms wettest month in 50 years","Bengaluru experienced its wettest October in five decades with 326 mm of rainfall recorded during the month, according to the India Meteorological Department. The excess monsoon caused flooding in several low-lying areas of the city including Koramangala and Whitefield. BBMP deployed 200 emergency response teams.",Environment,TRUE
54,Adani Group acquires cricket franchise in SA20 league — expands sports portfolio,"Adani Sportsline confirmed the acquisition of a franchise in South Africa's SA20 cricket league, expanding the conglomerate's growing sports portfolio which already includes a Gujarat Giants franchise in WPL and Adani Ports and Special Economic Zone sponsorships across multiple sports.",,True
49,"CBSE Class 10, 12 results: national pass percentage touches 93.1%, all-time high","The Central Board of Secondary Education announced the results for Class 10 and 12 board examinations. The national pass percentage reached 93.1% for Class 12 and 91.4% for Class 10, both all-time highs. Girls outperformed boys across all subjects in both examinations.",Education,True
40,India-UK Free Trade Agreement signed after 3 years of negotiations,"India and the United Kingdom formally signed a Free Trade Agreement ending three years of negotiations. The deal covers trade in goods, services, and intellectual property, reducing tariffs on 90% of Indian products entering the UK. Indian textiles, pharma, and IT services are primary beneficiaries.",Economy,True
36,,"India's pharmaceutical exports reached $28.1 billion in financial year 2025, a 9.4% year-on-year growth, Commerce Ministry data revealed. India supplies 20% of global generic medicines by volume. USA, UK, South Africa, and Nigeria are the largest markets for Indian pharmaceutical products.",,True
17,IIT Madras researchers develop low-cost blood test for early cancer detection,"Researchers at IIT Madras announced the development of a liquid biopsy test capable of detecting 8 types of cancer from a single blood sample at an accuracy of 94%. The test costs Rs 2,000 compared to Rs 50,000 for existing options and could be deployed at primary healthcare centres.",Science,True
79,India's internet user base crosses 90 crore — world's largest — TRAI annual report,"India's active internet user base crossed 90 crore (900 million), making India the world's largest internet population, surpassing China's 85 crore active users. The TRAI annual report attributed growth to affordable 4G/5G data plans, rural connectivity under BharatNet, and smartphone adoption.",Technology,True
35,IMD predicts above-normal 2025 monsoon at 106% of long-period average,"  The India Meteorological Department released its forecast predicting an above-normal southwest monsoon in 2025 at 106% of the long-period average of 87 cm.

The prediction is based on a neutral El Niño-Southern Oscillation condition and favourable Indian Ocean Dipole patterns.  ",Environment,True
67,India evacuates 210 nationals from Israel via Jordan amid conflict — MEA confirms,The Ministry of External Affairs confirmed the safe evacuation of 210 Indian nationals from Israel through Jordan amid the escalating regional conflict. Commercial flights were suspended and the government coordinated with Jordan's Foreign Ministry for a ground transit corridor.,National Security,True
8,Ayushman Bharat expanded to cover all senior citizens above 70 years — Centre announces,"The central government announced a major expansion of the Ayushman Bharat Pradhan Mantri Jan Arogya Yojana to provide free health insurance coverage of Rs 5 lakh to all senior citizens aged 70 years and above, regardless of income. An estimated 4.5 crore additional seniors will benefit.",Government,True
44,India completes first human spaceflight: Gaganyaan astronaut orbits Earth for 3 days,"India achieved a historic milestone as IAF pilot and ISRO astronaut Group Captain Prashanth Balakrishnan Nair successfully completed a 3-day orbital mission aboard the Gaganyaan spacecraft. Upon landing, PM Modi called it India's proudest moment since the Moon landing of Chandrayaan-3.",Science,True
66,NMC introduces new clinical exam system for MBBS final year — NCLEX-style test,"The National Medical Commission introduced a standardised clinical skills assessment for final-year MBBS students across all medical colleges in India, modelled on international licensing examinations. The test includes standardised patient interactions and clinical decision-making scenarios.",Education,True
73,India achieves Open Defecation Free Plus status in all districts — Swachh Bharat,"  The Ministry of Jal Shakti announced India has achieved Open Defecation Free Plus status across all districts, confirming not only the construction but functional use of 12 crore individual household toilets built under Phase II of the Swachh Bharat Mission.

Verification was done by third-party agencies.  ",Government,True
28,India's first indigenous aircraft carrier INS Vikrant completes deep-sea deployment,,National Security,True
20,India's renewable energy capacity crosses 200 GW milestone — Ministry of Power,"India's total installed renewable energy capacity crossed 200 gigawatts for the first time, the Ministry of Power announced. Solar power contributed 85 GW while wind contributed 46 GW. India is on track to meet its target of 500 GW renewable capacity by 2030 under the Paris Agreement commitments.",Environment,True
91,IIT Madras launches offshore campus in Tanzania — India's first international IIT campus,"IIT Madras formally inaugurated India's first overseas IIT campus in Zanzibar, Tanzania. The campus, operating in partnership with the Tanzanian government, will offer BTech programmes in data science, electrical engineering, and mechanical engineering to students from across East Africa.",Education,True
14,,"Delhi's Air Quality Index remained in the 'good' category for 10 consecutive days during the winter season — the longest such streak in seven years. The improvement followed a combination of factors including an extended odd-even vehicle scheme, construction halts, and favourable wind patterns.",Environment,True
26,India-Middle East-Europe Corridor (IMEC) inaugurated as alternative to China's BRI,,Government,True
69,,India successfully tested the Agni-5 ballistic missile with Multiple Independently Targetable Re-entry Vehicle (MIRV) technology under Mission Divyastra. The test made India one of only five nations globally with MIRV capability. The system can carry multiple nuclear warheads to different targets.,National Security, TRUE
50,"NDA sweeps J&K assembly elections, J&K granted full statehood — President's assent","Following the successful completion of Jammu & Kashmir's first assembly elections after Article 370 abrogation, the central government passed legislation restoring J&K's statehood. The bill received Presidential assent, reversing J&K's union territory status and restoring elected governance.",Politics,True
14,,"Delhi's Air Quality Index remained in the 'good' category for 10 consecutive days during the winter season — the longest such streak in seven years. The improvement followed a combination of factors including an extended odd-even vehicle scheme, construction halts, and favourable wind patterns.",Environment,True
25,Neeraj Chopra becomes world javelin champion with 89.94m throw in Budapest,"India's Olympic champion Neeraj Chopra won the World Athletics Championships gold in Budapest with a massive throw of 89.94 metres in the javelin event. Chopra became the first Indian male athlete to win a world athletics gold medal, cementing his status as one of the sport's all-time greats.",Sports,TRUE  
4,,,Sports,True
18,,"India recorded its highest-ever Goods and Services Tax collection of Rs 2.37 lakh crore in April 2025, the Finance Ministry announced. This represented a 12.4% year-on-year increase. The record collection was attributed to improved compliance, digitalisation, and economic expansion.",Economy,True
39,"NCERT revises school textbooks to include AI, coding, and financial literacy from Class 6","The National Council of Educational Research and Training approved a new curriculum framework introducing artificial intelligence concepts, programming basics, and personal finance literacy as part of the school syllabus from Class 6 onwards, beginning the 2025-26 academic year.",Education,True
9,"India's tiger population rises to 3,682 — world's 75% tigers in India, census reveals","  India's National Tiger Conservation Authority released the findings of its 2024 tiger census showing the population has risen to 3,682 tigers, up from 2,967 in 2018.

India now hosts approximately 75% of the world's wild tiger population.

Madhya Pradesh has the highest count at 785 tigers.  ",Environment,True
85,Polio-free status retained — India completes 13 years without a single case,"India commemorated 13 years since its last recorded poliovirus case on January 13, 2011. The WHO confirmed India has retained its polio-free certification. National Immunisation Day vaccinated 17 crore children below 5 years of age across the country.",Health,True
7,Gaganyaan test flight successfully demonstrates crew escape system over Bay of Bengal,ISRO's Test Vehicle Demonstration-2 (TVD-2) for the Gaganyaan human spaceflight program successfully tested the Crew Escape System over the Bay of Bengal. The module was recovered safely from the ocean. ISRO confirmed the test brings India closer to launching human astronauts into space.,Science,True
71,IIT Bombay launches India's first BS in Artificial Intelligence programme,"IIT Bombay introduced India's first standalone Bachelor of Science programme in Artificial Intelligence, accepting students through JEE Advanced. The four-year programme covers machine learning, neural networks, robotics, and AI ethics with industry partnerships from Google DeepMind, Microsoft, and TCS.",Education,True
95,,"The Government of India announced the conferral of the Bharat Ratna — India's highest civilian honour — posthumously to industrialist Ratan Tata. The announcement was made during the Budget session. Tata, who passed away in October 2024, was recognised for his contributions to Indian industry and philanthropy.",Politics,True
100,"Manipur Peace Accord signed — Centre, state, and tribal bodies agree to ceasefire framework","The Ministry of Home Affairs facilitated the signing of a Manipur Peace Framework between the Central Government, the Manipur state administration, and representatives of seven major Meitei and Kuki-Zo community organisations. The accord includes a ceasefire, humanitarian corridors, and a joint rehabilitation commission.",Government,True
55,National Health Mission achieves zero measles death target in 25 states — WHO confirms,,,True
51,"Supreme Court rules NEET exam unconstitutional, orders formation of new medical entrance body",  A nine-judge Supreme Court bench ruled the current NEET medical entrance examination framework unconstitutional due to systemic irregularities and ordered the central government to constitute a new independent medical entrance authority within six months with stronger anti-malpractice mechanisms.  ,Law,True
74,TRAI mandates 5G coverage in all district headquarters by December 2025,"The Telecom Regulatory Authority of India issued directives mandating all three major telecom operators — Jio, Airtel, and Vi — to provide 5G network coverage in all 766 district headquarters in India by December 31, 2025. Failure to comply will attract financial penalties under the telecom licence terms.",Technology,True
47,Odisha's Nabakalebara Rath Yatra draws 45 lakh devotees — peaceful procession,"The Nabakalebara Rath Yatra of Lord Jagannath in Puri, Odisha drew an estimated 45 lakh devotees during the procession through the city. The state deployed 12,000 police personnel. The Odisha government used drone surveillance and real-time crowd management for the first time.",Religion,TRUE  
98,IPL 2025 records highest-ever attendance — 1.1 crore tickets sold across season,The Indian Premier League 2025 season recorded its highest-ever cumulative stadium attendance with 1.1 crore tickets sold across all venues. Digital ticketing system saw a 42% increase in women attendees compared to the previous season. Total digital viewership crossed 50 crore on all platforms.,,True
62,Bengaluru becomes India's first city to achieve 100% EV penetration in auto-rickshaws,Bengaluru officially became India's first city to complete 100% transition of its commercial auto-rickshaw fleet to electric vehicles. The city's 1.25 lakh autorickshaws are all EV-powered under a BBMP and state transport department programme with financial incentives and charging infrastructure.,Technology,True
98,IPL 2025 records highest-ever attendance — 1.1 crore tickets sold across season,The Indian Premier League 2025 season recorded its highest-ever cumulative stadium attendance with 1.1 crore tickets sold across all venues. Digital ticketing system saw a 42% increase in women attendees compared to the previous season. Total digital viewership crossed 50 crore on all platforms.,,True
86,G20 New Delhi Declaration adopted by consensus — India hailed as successful host,"The G20 New Delhi Declaration was unanimously adopted by all member nations at the India Summit under the theme 'Vasudhaiva Kutumbakam — One Earth, One Family, One Future.' Key outcomes included the African Union's permanent G20 membership, climate finance reforms, and digital public infrastructure commitments.",Politics,True
42,India receives $100 billion FDI in single fiscal year for first time — DPIIT report,"India attracted $103 billion in Foreign Direct Investment during financial year 2025, becoming the first year to cross the $100 billion mark. The DPIIT credited improved ease of doing business, infrastructure development, and the production-linked incentive scheme for the record inflow.",Economy,True
59,"India launches Operation Kaveri to evacuate 3,000 Indian citizens from Sudan","  The Indian Air Force and Navy successfully evacuated over 3,000 Indian nationals from conflict-affected Sudan under Operation Kaveri.

IAF C-17 Globemaster and C-130J aircraft conducted multiple sorties while an Indian Navy warship coordinated sea evacuations from Port Sudan.  ",National Security,TRUE
49,"CBSE Class 10, 12 results: national pass percentage touches 93.1%, all-time high","The Central Board of Secondary Education announced the results for Class 10 and 12 board examinations. The national pass percentage reached 93.1% for Class 12 and 91.4% for Class 10, both all-time highs. Girls outperformed boys across all subjects in both examinations.",Education, TRUE
94,India-Saudi Arabia bilateral trade surpasses $60 billion — new energy corridor planned,India-Saudi Arabia bilateral trade exceeded $60 billion in fiscal year 2025 for the first time. Both governments announced plans for a new energy corridor including submarine pipelines for liquefied natural gas and undersea power cables to reduce India's dependence on fossil fuel price volatility.,Economy,true
58,IND vs PAK Asia Cup match draws highest-ever TV viewership in India — 22 crore viewers,"The India vs Pakistan Asia Cup match drew 22 crore (220 million) concurrent television viewers across India, setting a new record for the highest single-match viewership in Indian television history. JioCinema streaming platform also recorded 3.2 crore simultaneous online viewers.",,True
76,"India launches world's largest food fortification programme — rice, wheat, oil fortified",,,True
33,India launches first quantum communication satellite — QKD mission successful,"ISRO launched India's first experimental quantum key distribution satellite, successfully demonstrating quantum-encrypted communication between two ground stations. The mission makes India one of a handful of nations with quantum satellite communication capabilities, with implications for secure governmental communications.",Science,True
36,,"India's pharmaceutical exports reached $28.1 billion in financial year 2025, a 9.4% year-on-year growth, Commerce Ministry data revealed. India supplies 20% of global generic medicines by volume. USA, UK, South Africa, and Nigeria are the largest markets for Indian pharmaceutical products.",,True
60,PM Surya Ghar Muft Bijli Yojana installs rooftop solar in 1 crore homes,"The PM Surya Ghar Muft Bijli Yojana rooftop solar scheme reached its milestone of 1 crore household installations, providing free electricity of up to 300 units per month to qualifying families. The scheme has an outlay of Rs 75,021 crore and is among the world's largest rooftop solar programmes.",Government,True
64,India's first semiconductor fab announced — Tata Electronics to manufacture chips in Assam,"  Tata Electronics signed an MoU with the government of Assam and the central government to build India's first commercial semiconductor fabrication plant in Jagiroad, Assam.

The $11 billion fab will produce 28nm and 40nm chips and create 50,000 direct and indirect jobs.  ",Technology,True
92,Tata Motors' electric vehicle Nexon EV crosses 1 lakh sales milestone in India,,Technology,True
38,"Defence budget crosses Rs 6 lakh crore, highest ever with focus on domestic manufacturing","India's defence budget was set at Rs 6.21 lakh crore for FY2026 — the highest allocation in the country's history. The budget earmarks 75% of capital acquisition funds for domestically manufactured defence equipment, aligning with the Make in India initiative.",National Security,true
30,India ranks 1st globally in real-time digital payment transactions — BIS report,,Economy,True
97,India's first drone delivery medical corridor operational in Manipur and Arunachal Pradesh,"The Centre for Disease Control and the Ministry of Health launched India's first permanent drone-based medical delivery corridor serving 150 remote villages in Manipur and Arunachal Pradesh. Life-saving medicines, vaccines, and blood samples are transported across difficult terrain in weather-proof medical drones.",Health,True
2,"ISRO successfully launches NVS-02 navigation satellite, strengthens NavIC system","The Indian Space Research Organisation successfully launched the NVS-02 navigation satellite aboard a GSLV rocket from Sriharikota. The satellite will enhance India's indigenous navigation system NavIC, providing more accurate positioning services across South Asia. The mission was declared a complete success by ISRO chairman.",Science,True
53,"India wins Hockey World Cup 2025, ending 50-year wait for world title","The Indian men's hockey team won the FIH Hockey World Cup 2025 in Rourkela, defeating Germany 3-2 in the final. The triumph ends a 50-year wait since India last won the World Cup in 1975. Captain Harmanpreet Singh was named player of the tournament.",Sports,True
22,N/A,"Indian National Space Promotion and Authorisation Centre (IN-SPACe) released a report projecting India's space economy will grow to $44 billion by 2033 from the current $8.4 billion. The report cited satellite communications, earth observation services, and launch services as key growth drivers.",Science,True
3,"Supreme Court upholds right to privacy in digital data case, landmark verdict","In a landmark judgment, the Supreme Court of India upheld citizens' right to digital privacy and imposed strict conditions on government agencies accessing personal data without judicial oversight. The bench of seven judges ruled 6-1 in favour of greater constitutional protections for digital information.",Law,True
24,Pradhan Mantri Awas Yojana 2.0 approved with Rs 2.30 lakh crore to build 3 crore houses,The Union Cabinet approved Pradhan Mantri Awas Yojana-Urban 2.0 with an outlay of Rs 2.30 lakh crore to construct 3 crore additional affordable houses in urban areas. The scheme targets economically weaker sections and will be implemented between 2024-2029.,Government,True
88,N/A,"Prime Minister Narendra Modi performed the Pran Pratishtha ceremony at the newly constructed Ram Mandir in Ayodhya, consecrating the deity idol of Lord Ram in the garbhagriha. Thousands of devotees, saints, religious leaders, and dignitaries attended the ceremony on January 22, 2024.",Religion,True
99,"India's forest cover increases by 1,445 sq km — first significant gain in a decade","The Forest Survey of India's biennial State of Forest Report showed India's total forest cover increased by 1,445 square kilometres compared to the previous assessment. Arunachal Pradesh, Odisha, and Maharashtra contributed most to the gain. Total forest cover now stands at 21.76% of India's geographic area.",Environment,True
75,Mithali Raj inducted into ICC Hall of Fame — first Indian woman cricketer honoured,"Former India women's cricket captain Mithali Raj was inducted into the International Cricket Council Hall of Fame in a ceremony at Lord's Cricket Ground, London. She is the first Indian woman cricketer to receive the honour and was lauded for her 23-year career and 7,805 ODI runs.",Sports,True
87,,The Securities and Exchange Board of India mandated T+1 (same-day-plus-one) settlement cycles for all stocks listed on the National Stock Exchange and Bombay Stock Exchange. India became one of the first major economies to implement T+1 across its entire equity market.,Economy,True
83,"Cyclone Remal devastates Odisha coast, government evacuates 1.2 lakh people",nan,Environment,True
21,Union Budget 2025-26 allocates Rs 11.11 lakh crore for infrastructure — highest ever,"Finance Minister Nirmala Sitharaman presented Union Budget 2025-26 with a record infrastructure allocation of Rs 11.11 lakh crore, including Rs 3.4 lakh crore for railways, Rs 2.78 lakh crore for roads and highways, and major investment in ports, airports, and urban development.",,True
61,India's maternal mortality rate drops to 97 per 1 lakh live births — historic low,"India's Sample Registration System data revealed the maternal mortality rate dropped to 97 per 1 lakh live births, the lowest recorded in independent India's history. The target is to reach 70 per lakh by 2030. Institutional deliveries now stand at 89.4% nationally.",Health,True
72,India-US 2+2 Ministerial agrees on transfer of GE F-414 jet engine technology,,National Security,True
15,,The National High Speed Rail Corporation Limited conducted a successful trial run of the Mumbai-Ahmedabad High Speed Rail corridor covering a 50 km stretch between Surat and Navsari at 300 km/h. The full 508 km corridor is expected to be operational in phases from 2026 onwards.,Government,True
93,India wins Kabaddi World Cup 2025 for eighth consecutive time,"The Indian men's kabaddi team won the Kabaddi World Cup 2025 in Chennai for the eighth consecutive time, defeating Iran 43-28 in the final. India's women's team also retained the title for the fifth straight time. Total attendance at the tournament exceeded 1 lakh across all matches.",Sports,True
52,Mumbai Metro Line 3 fully operational — Colaba to SEEPZ in 44 minutes,"  Mumbai Metro Line 3 (Aqua Line) became fully operational, connecting Colaba in South Mumbai to SEEPZ in the eastern suburbs in 44 minutes.

The 33.5 km underground metro has 26 stations and is expected to reduce private vehicle traffic on the Western Express Highway by 15%.  ",Government,True
20,India's renewable energy capacity crosses 200 GW milestone — Ministry of Power,"India's total installed renewable energy capacity crossed 200 gigawatts for the first time, the Ministry of Power announced. Solar power contributed 85 GW while wind contributed 46 GW. India is on track to meet its target of 500 GW renewable capacity by 2030 under the Paris Agreement commitments.",Environment,True
